accuracy,failures,budget
Written: 0.9421235747257838,67.0,200
Written: 0.9246926754433308,84.0,200
Written: 0.9132739150624051,75.0,200
Written: 0.9333190371549448,74.0,200
Written: 0.9001302502780748,77.0,200
Written: 0.9246839992709799,69.0,200
Written: 0.938569822097487,70.0,200
Written: 0.9042490864805425,82.0,200
Written: 0.9005318192487439,70.0,200
Written: 0.9308532527685563,67.0,200
Written: 0.9514708339857022,62.0,200
Written: 0.9323853842816103,83.0,200
Written: 0.9499377765607633,72.0,200
Written: 0.9440152543788075,61.0,200
Written: 0.9343120728592906,61.0,200
Written: 0.9368116499907326,77.0,200
Written: 0.9353164021427665,75.0,200
Written: 0.8584883762616164,60.0,200
Written: 0.952756365609472,64.0,200
Written: 0.9624439552907648,54.0,200
Written: 0.9035475594319556,76.0,200
Written: 0.9369148127051837,75.0,200
Written: 0.9414814806222153,65.0,200
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_entropy_200.txt,,200
0.9225943610484266,136.0,400
0.8950248617605157,161.0,400
0.9361195431242202,144.0,400
0.9195607175304963,151.0,400
0.9441354346247629,135.0,400
0.9123824825632506,160.0,400
0.9321392878421979,145.0,400
0.9229528114247088,141.0,400
0.9447101862329749,124.0,400
0.9061877739045675,144.0,400
0.9194498677069636,141.0,400
0.937583882323112,140.0,400
0.8594475756897846,145.0,400
0.9477516360912768,142.0,400
0.9106554747364956,136.0,400
0.9232954134850542,154.0,400
0.9425019916487484,126.0,400
0.9223581362877905,162.0,400
0.9317328636515309,144.0,400
0.9369636375367792,149.0,400
0.9207574356269411,159.0,400
0.909729712292723,145.0,400
0.9284664169063865,156.0,400
0.9207474071015481,156.0,400
0.9133684771091798,143.0,400
0.9029288525854113,158.0,400
0.9307483034817408,153.0,400
0.9474770358614791,137.0,400
0.9297020423131405,147.0,400
0.9181588984055389,144.0,400
,136.0,400
Written: 0.8950248617605157,161.0,400
Written: 0.9361195431242202,144.0,400
Written: 0.9195607175304963,151.0,400
Written: 0.9441354346247629,135.0,400
Written: 0.9123824825632506,160.0,400
Written: 0.9321392878421979,145.0,400
Written: 0.9229528114247088,141.0,400
Written: 0.9447101862329749,124.0,400
Written: 0.9061877739045675,144.0,400
Written: 0.9194498677069636,141.0,400
Written: 0.937583882323112,140.0,400
Written: 0.8594475756897846,145.0,400
Written: 0.9477516360912768,142.0,400
Written: 0.9106554747364956,136.0,400
Written: 0.9232954134850542,154.0,400
Written: 0.9425019916487484,126.0,400
Written: 0.9223581362877905,162.0,400
Written: 0.9317328636515309,144.0,400
Written: 0.9369636375367792,149.0,400
Written: 0.9207574356269411,159.0,400
Written: 0.909729712292723,145.0,400
Written: 0.9284664169063865,156.0,400
Written: 0.9207474071015481,156.0,400
Written: 0.9133684771091798,143.0,400
Written: 0.9029288525854113,158.0,400
Written: 0.9307483034817408,153.0,400
Written: 0.9474770358614791,137.0,400
Written: 0.9297020423131405,147.0,400
Written: 0.9181588984055389,144.0,400
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_entropy_400.txt,,400
0.9206737350407198,289.0,800
0.9251836971353417,276.0,800
0.9234251810433934,302.0,800
0.8871329695428534,275.0,800
0.9274883237634924,299.0,800
0.9232143268508183,279.0,800
0.926379803450917,274.0,800
0.9221610809107503,317.0,800
0.9247765029692205,267.0,800
0.9190074070937827,320.0,800
0.9174995417310516,286.0,800
0.91312832496769,277.0,800
0.8747596118251274,285.0,800
0.9227542120603176,297.0,800
0.9160739815834169,282.0,800
0.8835297039217274,299.0,800
0.9274161041700246,277.0,800
0.9370195497125002,275.0,800
0.9293221509134408,282.0,800
0.9163971306737625,307.0,800
0.9138643275092464,277.0,800
0.9310837288250164,292.0,800
0.9291927094122641,274.0,800
0.9166870173617335,294.0,800
0.9412315044860354,267.0,800
0.9348373656431676,279.0,800
0.9312147023486251,256.0,800
0.927533899191743,275.0,800
0.9101598314552685,300.0,800
0.9196687000223688,287.0,800
,289.0,800
Written: 0.9251836971353417,276.0,800
Written: 0.9234251810433934,302.0,800
Written: 0.8871329695428534,275.0,800
Written: 0.9274883237634924,299.0,800
Written: 0.9232143268508183,279.0,800
Written: 0.926379803450917,274.0,800
Written: 0.9221610809107503,317.0,800
Written: 0.9247765029692205,267.0,800
Written: 0.9190074070937827,320.0,800
Written: 0.9174995417310516,286.0,800
Written: 0.91312832496769,277.0,800
Written: 0.8747596118251274,285.0,800
Written: 0.9227542120603176,297.0,800
Written: 0.9160739815834169,282.0,800
Written: 0.8835297039217274,299.0,800
Written: 0.9274161041700246,277.0,800
Written: 0.9370195497125002,275.0,800
Written: 0.9293221509134408,282.0,800
Written: 0.9163971306737625,307.0,800
Written: 0.9138643275092464,277.0,800
Written: 0.9310837288250164,292.0,800
